,summary
647,"Works with IT teams to support data collection, integration, and retention requirements based on business needIdentifies critical and emerging technologies that will support and extend quantitative analytic capabilitiesManages work efforts which require the use of sophisticated project planning techniquesApplies a wide application of complex principles, theories and concepts in a specific field to provide solutions to a wide range of difficult problemsDevelops and maintains an effective network of both scientific and business contacts/knowledge obtaining relevant information and intelligence around the market and emergent opportunitiesCollaborates with business subject matter experts to select relevant sources of informationDevelop breadth of knowledge in programming (R, Python), Descriptive, Inferential, and Experimental Design statistics, advanced mathematics, and database functionality (SQL, Hadoop)Develop expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis, generative and discriminative predictive modeling, graph theory, recommender systems, text analytics, computer vision, deep learning, optimization and validationAssists on projects/requests and may lead specific tasks within the project scopePrepares and manipulates data for use in development of statistical modelsJob Type: Full-time"
648,"The Sidney Group LLC, based in Atlanta, GA, is interested in professionals in the areas of artificial intelligence, data science, software developers and all engineering specialties, Our clients are some of the most admired and advanced in technology offering extraordinary opportunities. All skill levels are encouraged to respond by forwarding a resume.You must be open to both direct hire and contract employee opportunities. We look forward to hearing from you today. Please visit our website www.thesidneygroupllc.comJob Type: Full-time"
649,"We are looking for a Data Scientist who is passionate about using large data sets to answer tough business questions! You’ll collaborate with the product, engineering, and research departments to develop and employ predictive machine learning techniques for internal and external business needs. You must also be comfortable working with stakeholders and collaborating with team members to improve our product features through advanced statistical techniques and mathematical principles.

Responsibilities:

Apply advanced statistical techniques and concepts to analyze data from the company database (PostgreSQL), with Salesforce, and other unstructured data sources to drive optimization and improvement of product features, marketing messaging, and internal business processes
Develop custom data models/algorithms
Develop tools to analyze data accuracy and model performance
Leverage machine learning, natural language processing, and/or advanced statistical techniques
Coordinate across teams (product management, engineering, etc) timely and effectively
Possess a drive to learn and master new technologies and techniques
Contribute to the rapid growth of the research organization, being flexible in data engineering, algorithmist, and analyst responsibilities as they arise

Requirements:

Masters or PhD in CS, Mathematics, Statistics, or another quantitative field
Experience with machine learning, including natural language processing, probabilistic reasoning, and neural networks. Background in contemporary machine learning techniques, such as deep/differential learning, preferred.
Strong knowledge/experience with a variety of analysis tools, including Python, R, and SQL
Background in information retrieval, data mining, and ETL techniques for processing data
Experience working cross-organization to service the data analysis needs of different parts of the business"
650,"Job Description

As a Data Scientist at Square, you will lead projects that derive value from our unique, rich, and rapidly growing data. We’re a passionate team of hackers, statisticians, and optimizers who are resourceful in distilling questions, wrangling data, and driving decisions.
As a Data Scientist in the Commerce Platform team you will apply your modeling and engineering skills to a variety of challenging, high-impact projects in areas such as authentication and authorization, catalog and inventory management, orders and billing, and analytics and reporting.
You will:
Drive cross-functional ML projects from beginning to end: build relationships with partner teams, frame and structure questions, develop data pipelines, train and optimize ML models, and deploy solutions in production.
Work with engineers to evangelize data best practices and implement ML solutions.
Collaborate with business leaders, subject matter experts, and decision makers to identify automation opportunities.
Develop success criteria and optimize new and existing products, features, policies, and models.
Communicate key results to senior management in verbal, visual, and written media.
Help build an amazing suite of ML-driven products at Square Qualifications

An advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Physical Sciences, Economics, or a related technical field
A consistent track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.) and SQL
Experience using statistics and machine learning to solve complex business problems
The versatility and willingness to learn new technologies on the job
The ability to clearly communicate complex results to technical and non-technical audiences
Even Better:
2+ years industry experience in data science, machine learning, or analytics
Familiarity with other data tools such as Hive, Vertica, Tableau, Ruby
Familiarity with Linux/OS X command line, version control software (git), and general software development
Technologies we use and teach:
Python (numpy, pandas, sklearn) & R
MySQL, Vertica, Hive, Redshift
Machine Learning (e.g. regression, ensemble methods, etc.)
Statistics (Bayesian methods, experimental design, causal inference)
Tableau, Looker
Additional Information

At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance."
651,"About Us:
GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Through our people, leadership development, services, technology and scale, GE delivers better outcomes for global customers by speaking the language of industry.
GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

Role Summary:
The Data Scientist will serve in cross-functional teams addressing business problems and applying their statistical, machine learning and data modeling skills towards building tools that lead to productivity, profitiability and growth for the Power generation business.

Essential Responsibilities:
In this role, the data scientist will contribute to the development and deployment of modern artificial intelligence, machine learning, operational research, and applied statistical methods with goal of helping the business execute upon the insights derived from the large data sets. As a Data Scientist, you will be part of a data science team commercially-facing development projects, typically involving large, complex data sets. These teams typically include statisticians, computer scientists, software developers, engineers, product managers, and end users, working in concert with partners in GE business units. Potential application areas include remote monitoring and diagnostics across infrastructure and industrial sectors, financial portfolio risk assessment, and operations optimization.

In this role you will:

Develop analytics within well-defined projects to address customer needs and opportunities.
Work alongside software developers and software engineers to translate algorithms into commercially viable products and services.
Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics.
Perform exploratory and targeted data analyses using descriptive statistics and other methods.
Work with data engineers on data quality assessment, data cleansing and data analytics
Generate reports, annotated code, and other projects artifacts to document, archive, and communicate your work and outcomes.
Share and discuss findings with team members.

Qualifications/Requirements:
Basic Qualifications:

Bachelor’s Degree in a “STEM” major (Science, Technology, Engineering, Mathematics)
Minimum 2 year analytics development in a commercial setting

Eligibility Requirements:

Legal authorization to work in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job
Must be willing to work out of an office located in Atlanta, GA

Desired Characteristics:
Desired Characteristics:

Master’s Degree in a “STEM” major (Science, Technology, Engineering, Mathematics) or related field.
Demonstrated skill in the use of one or more analytic software tools or languages (Python, R, Matlab)
Demonstrated skill at data cleansing, data quality assessment, and using analytics for data assessment (SQL)
Demonstrated skill at data visualization (Bokeh, RShiny, Tableau, Qlik)
Demonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial datasets

Technical Expertise:

Demonstrated awareness of feature extraction and real-time analytics methods
Demonstrated awareness of analytic prototyping, analytic scaleup, analytic scaling, and solutions integration

Domain Knowledge:

Demonstrated awareness of industry and technology trends in data science
Demonstrated awareness of customer and stakeholder management and business metrics

Leadership:

Demonstrated awareness of how to function in a team setting
Demonstrated awareness of critical thinking and problem solving methods
Demonstrated awareness of presentation skills

Personal Attributes:

Demonstrated awareness of how to leverage curiosity and creativity to drive business impact
Strong oral and written communication skills

#DTR

Locations: United States; Georgia; Atlanta"
652,"Job Description
Data Scientists influence how Intel does business, one data-driven decision at a time! In this role, you may assist business units with casual inferences and observations with finding patterns, relationships in data, develop software, algorithms and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data into intelligence, solve a variety of business problems and enable business strategy, inform, influence, support, and execute business decisions and product design, analyze and explore data to help discover hidden business insights in the data. It may also involve development of complex queries using stored procedures and similar methods, as well as design, develop, and implement high performance and easy-to-use data visualization functionality, and automation scripts.
Ours is a culture of innovation and diversity, where everyone is given a place in the conversation based on the merits of their technical argument. If you are looking for a place to make a real impact and begin a fruitful career, this is the place for you.
An ideal candidate would exhibit behavioral traits that indicate:
strong analytical mind with problem solving skills
ability to work independently and manage stakeholders
ability to deal with ambiguity in defining activities and direction
passion for the job
high motivation with a strong work ethic
good planning skills
excellent written and verbal communication skills
You must meet the qualifications to be considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work, class course work, research, relevant previous job and/or internship experiences. Upon applying for this opportunity, you will also be considered for other similar opportunities available.

Qualifications

Degree in Computer Science, Electrical Engineering or any related fields (i.e. Statistics, applied Mathematics, Computational Neuroscience
Experience with:
machine learning and statistical approaches, and experience applying them
deep learning, machine learning and/or big data
program languages such as Python, Perl, Java, and/or C++
designing professional software using Python/C++
Inside this Business Group
Intel makes possible the most amazing experiences of the future. You may know us for our processors. But we do so much more. Intel invents at the boundaries of technology to make amazing experiences possible for business and society, and for every person on Earth. Harnessing the capability of the cloud, the ubiquity of the Internet of Things, the latest advances in memory and programmable solutions, and the promise of always-on 5G connectivity, Intel is disrupting industries and solving global challenges. Leading on policy, diversity, inclusion, education and sustainability, we create value for our stockholders, customers, and society.

Other Locations
US, California, San Diego; US, Ohio, Hudson; US, California, Los Angeles; US, California, Folsom; US, Arizona, Phoenix; US, Texas, Austin; US, California, San Jose;

Posting Statement. Intel prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status."
653,"Position: Data ScientistLocation: Minneapolis, MNHire: TelephonicDuration: Long TermJob Description:5 + years of professional experience2+ years of experience with Big data technology and analyticsAt least 2-3 years' experience building descriptive, predictive, and prescriptive models with data.Experience in one or more languages (e.g., Python or Java)Experience with data visualization tools like TableauExperience with applied data sciences techniques, including but not limited to, machine learning approaches and statistical modelingProficiency in using query languages such as SQL, HiveIn-depth knowledge of statistical software packages (e.g. SAS and R)Understanding of Big Data tools (e.g., NoSQL DB, Hadoop, Hbase)Experience with Hadoop/Hive, Spark and Scoop highly desirableKnowledge of a variety of machine learning techniques. Experience building or supporting creation of predictive analytics solutions or machine learning models using R / PythonExperience with continuous software integration, test and deployment.The ability to work within a dynamic programmatic environment with evolving requirements and capability goalsSelf-motivated. Capable of working with little or no supervisionMaintenance of up-to-date knowledge in the appropriate technical areaStrong written and verbal communicationJob Type: ContractSalary: $45.00 to $50.00 /hourRequired experience:Data Scientist: 5 years"
654,"AT&T Summer Intern - Internship will last up to 12 weeks.
Innovation, technology, teamwork, exceptional customer service……..do those words resonate with you? If so, consider joining AT&T’s summer intern program. We have a number of opportunities available across AT&T and we consider a variety of degrees such as Engineering, Computer Science and Information Technology.
We are looking for highly motivated, energetic students who have the potential to become future leaders at AT&T. During your internship, you will be exposed to projects that require teamwork, strategic thinking, communication and leadership. In return we will help lay the groundwork for a satisfying career with the most innovative telecommunications company in the world.
The Data Scientist will be responsible for designing and implementing processes and layouts for complex, large- scale data sets used for modeling, data mining, and research purposes. Uses intermediate skills in the use of predictive modeling, statistics, trend analysis, and other data analysis techniques to collect, explore, and identify the right data to be analyzed from internal and external sources to explain or predict behavior and or solve a variety of business problems.
Key Roles and Responsibilities: This position will work closely with the Finance organization functional (Analytics) leads for Credit and Collections to formulate hypothetical insights and work through planning for delivering these insights to production. Design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. Perform data studies and data discovery around new data sources or new uses for existing data sources. Gathers, analyzes, and interprets a wide variety of data to identify causal relationships, trigger points and ultimately make predictions on customer behavior. Projects may include churn analysis, customer behavior and segmentation. Perform statistical analyses with existing data sets in statistical packages. Builds predictive models using data, tests the model on results outside of the sample and verifies the model in the real world. Quantifies significance of data variances, applies an array of statistical methods ranging from traditional to newly-developing within the Big-Data space. Visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. Develops reports, charts, tables, and other visual aids in support of findings. Advises business partners with regards to patterns and relationships in data to recommend business direction or outcomes.
Job Contribution: Works on unusually complex problems and provides solutions that are highly creative. Assists to determine and pursue courses of actions essential in obtaining desired outcomes.
Education: Typically possesses undergraduate degree in Statistics or Data Science related field with progress towards or recent completion of advanced college degree in Statistics or Data Science related field.
Experience: Typically possess strong understanding of internal business segment or stakeholders, and strong presentation skills. Typically requires related experience in relational database structures and data gathering, research methods, data science/mining, sampling techniques, statistical methods and modeling, and use of statistical data software (preferred SAS or R).
Supervisory: No

Required Qualifications
Must be currently pursuing or recently completed a graduate level degree
Must be able to clear a background check and drug test and possibly a driver’s license check
Must be able to operate a personal computer or wireless device
This position may require a Motor Vehicle (MVR) Report"
655,"Data Scientist Outcome Analytics POSITION SUMMARY Conducts analyses of complex and varied healthcare and other data to demonstrate the value of new technology implementations and process improvements to create business insights that drive decision-making. Uses descriptive and inferential statistics, data mining, predictive modeling and machine learning techniques to develop insights that will optimize cost and patient outcomes. The successful candidate should have a desire to learn and innovate and be comfortable in a fast-paced environment that works in virtual teams. He or she will be motivated to use technology and data to create insights and solutions that solve re al business problems and answers important questions in the health care industry. You will bring expertise in how to set up advanced analytical tools. You have deep understanding of different structured and unstructured data storages. You are very comfortable with tools such as R, SPSS and SQL programming. A strong understanding of statistics is crucial.
Qualifications

TECHNICAL SKILLS (Required) Fundamental Analytical Skills - Analyzing data, exploratory/descriptive analysis, statistics, data preparation Advanced skills Strong working knowledge of data mining algorithms including predictive modeling, multivariate modeling, decision -trees, probability networks, cluster ing, regression, etc. and in-database analytics. Proficiency with analytic tools and programming (SQL, Advance excel and SPSS/SAS/R)

EDUCATION/EXPERIENCE (Required) 3+ years of healthcare analytics experience preferred 5+ years of applied research and statistical analysis Background in statistics/probability, stochastic processes, econometric modeling, operations research.

3+ years of healthcare analytics experience preferred
5+ years of applied research and statistical analysis
Background in statistics/probability, stochastic processes, econometric modeling, operations research. MS/PhD preferred
Job
: Information Technology
Organization
: Adventist IT
Primary Location
: US-FL-Altamonte Springs
Schedule
: Full-time
Shift
: Day
Job Level
: Staff / Associate
Education Level
: Bachelor's Degree
Travel
: No
Job Posting
: Mar 1, 2018, 1:21:39 PM"
656,"SummaryData analysis, modeling, and forecasting is at the heart of our business and service. This senior position requires a strong applied statistics and mathematics background, with experience in managing a small team. Knowledge and experience in math, statistics, neural networks, and machine learning are needed in order to analyze company metrics, in order to develop high-quality models. This position works as in integral member of our operations and engineering teams to turn data into critical information & knowledge that can be used to make sound business service decisions.Essential Duties and ResponsibilitiesLead small team in strategy, discovery, innovation, and development of long-term company data science plans. Provide team leadership and coaching.Responsible for partnering with department executives to recommend, plan and implement changes that result in strategic business improvements.Use computational tools such as MATLAB/Octave, R, SQL, programming languages and other tools on a daily basis to produce algorithms used for analysis, forecasting, and reporting.Designs, develops and maintains business intelligence applications and solutions. Design and develop analysis techniques that uncovers patterns, trends and anomalies in large scale data using regression analysis, queue modeling, machine learning, and neural networks.Tests solutions for functionality and integrity; troubleshoots and resolves errors.Utilizes data mining techniques and develops data models to assist in the visualization and interpretation of data.Build critical report logic for daily, weekly, monthly, and quarterly reports.Interprets data to identify trends, conduct root cause analysis or problems, or suggest areas for process improvement.Hold reviews with business owners to validate quality, completeness, and accuracy of analysis and reports.Collaborate with developmental teams to design business intelligence solutions to facilitate data gathering, storage and retrieval.Work with and assist software engineers to integrate forecasting services into production applications.Integrates data from multiple data sources or functional areas, ensures data accuracy and integrity, and updates data as need. Stay current and informed on the latest forecasting, data analysis, and queuing theory research. Performs research, analysis and modeling on organizational data. Aggregates and performs statistical analysis on business data based on requests from senior leadership or project teams.Develops and applies algorithms or models to key business metrics with the goal of improving operations or answering business questions. Provides findings and analysis for use in decision making.Evaluates personal and team progress my analyzing strengths and weaknesses in performance. Sets quarterly and annual objectives that result in company, team, and individual growth.Other operations assignments as required.Knowledge/Skills/Abilities RequiredExpert knowledge in data science, math, and statistics.Ability to read, interpret, apply and computationally implement topics in advanced mathematics (such as probability and statistics, signal processing, queueing theory, Bayesian data analysis, artificial neural networks, time series analysis, etc.).Advanced understanding of data tools such as MATLAB, Octave, R, SQL, and other modeling and programming languages.History of use of the processes required to analyze very large data sets to forecast future trends and business requirements. Including a strong understanding of queuing models.Knowledge of parallel (CPU & GPU), cluster, and cloud computing processing a strong plus.Detailed oriented and able to manage own schedule and time.Performs work under general supervision.Ability to meet strict deadlines, work with little supervision, and handle complex algorithms and business problems.Possess strong leadership skills with experience managing teams and projects.Communication/Language SkillsExcellent communications skills including the ability to communicate complex mathematical findings to managers in various departments.Must have strong interpersonal skills, non-verbal skills, and listening skills.Comfortable giving and receiving feedback.Able to effecitively communicate in various team settings using clear, concise, and proper tone.Is flexible and open to the ideas and opinions of others.Experience/Education/CertificationsAdvanced degree required in math, statistics, or related fields.5 or more years of commercial experience with large data sets.Other General Requirements/Additional NotesAbility to travel up to 5% of time.Dexterity of hands and fingers to operate a computer keyboard, mouse, tools, and to handle other computer components.Ability to sit at workstation for long periods of time completing analysis, testing, documentation, or other assignments.Lifting and transporting of moderately heavy objects, such as computers and peripheralsPositive attitude, team player, good interpersonal communication skills and able to work across company departments.Equal Employment Opportunity: Sorenson Communications/CaptionCall is an Equal Opportunity, Affirmative Action EmployerJob Type: Full-timeRequired experience:large date sets with commercial: 5 yearsRequired education:Bachelor's"
657,"SummaryData analysis, modeling, and forecasting is at the heart of our business and service. This senior position requires a strong applied statistics and mathematics background, with experience in managing a small team. Knowledge and experience in math, statistics, neural networks, and machine learning are needed in order to analyze company metrics, in order to develop high-quality models. This position works as in integral member of our operations and engineering teams to turn data into critical information & knowledge that can be used to make sound business service decisions.Essential Duties and ResponsibilitiesLead small team in strategy, discovery, innovation, and development of long-term company data science plans. Provide team leadership and coaching.Responsible for partnering with department executives to recommend, plan and implement changes that result in strategic business improvements.Use computational tools such as MATLAB/Octave, R, SQL, programming languages and other tools on a daily basis to produce algorithms used for analysis, forecasting, and reporting.Designs, develops and maintains business intelligence applications and solutions. Design and develop analysis techniques that uncovers patterns, trends and anomalies in large scale data using regression analysis, queue modeling, machine learning, and neural networks.Tests solutions for functionality and integrity; troubleshoots and resolves errors.Utilizes data mining techniques and develops data models to assist in the visualization and interpretation of data.Build critical report logic for daily, weekly, monthly, and quarterly reports.Interprets data to identify trends, conduct root cause analysis or problems, or suggest areas for process improvement.Hold reviews with business owners to validate quality, completeness, and accuracy of analysis and reports.Collaborate with developmental teams to design business intelligence solutions to facilitate data gathering, storage and retrieval.Work with and assist software engineers to integrate forecasting services into production applications.Integrates data from multiple data sources or functional areas, ensures data accuracy and integrity, and updates data as need. Stay current and informed on the latest forecasting, data analysis, and queuing theory research. Performs research, analysis and modeling on organizational data. Aggregates and performs statistical analysis on business data based on requests from senior leadership or project teams.Develops and applies algorithms or models to key business metrics with the goal of improving operations or answering business questions. Provides findings and analysis for use in decision making.Evaluates personal and team progress my analyzing strengths and weaknesses in performance. Sets quarterly and annual objectives that result in company, team, and individual growth.Other operations assignments as required.Knowledge/Skills/Abilities RequiredExpert knowledge in data science, math, and statistics.Ability to read, interpret, apply and computationally implement topics in advanced mathematics (such as probability and statistics, signal processing, queueing theory, Bayesian data analysis, artificial neural networks, time series analysis, etc.).Advanced understanding of data tools such as MATLAB, Octave, R, SQL, and other modeling and programming languages.History of use of the processes required to analyze very large data sets to forecast future trends and business requirements. Including a strong understanding of queuing models.Knowledge of parallel (CPU & GPU), cluster, and cloud computing processing a strong plus.Detailed oriented and able to manage own schedule and time.Performs work under general supervision.Ability to meet strict deadlines, work with little supervision, and handle complex algorithms and business problems.Possess strong leadership skills with experience managing teams and projects.Communication/Language SkillsExcellent communications skills including the ability to communicate complex mathematical findings to managers in various departments.Must have strong interpersonal skills, non-verbal skills, and listening skills.Comfortable giving and receiving feedback.Able to effecitively communicate in various team settings using clear, concise, and proper tone.Is flexible and open to the ideas and opinions of others.Experience/Education/CertificationsAdvanced degree required in math, statistics, or related fields.5 or more years of commercial experience with large data sets.Other General Requirements/Additional NotesAbility to travel up to 5% of time.Dexterity of hands and fingers to operate a computer keyboard, mouse, tools, and to handle other computer components.Ability to sit at workstation for long periods of time completing analysis, testing, documentation, or other assignments.Lifting and transporting of moderately heavy objects, such as computers and peripheralsPositive attitude, team player, good interpersonal communication skills and able to work across company departments.Equal Employment Opportunity: Sorenson Communications/CaptionCall is an Equal Opportunity, Affirmative Action EmployerJob Type: Full-timeRequired experience:large date sets with commercial: 5 yearsRequired education:Bachelor's"
658,"Are you passionate about solving challenging problems?


Do you thrive being a critical part of an elite team of like-minded people?


How would you like for your next career move to take you to the next level?


If any of this sounds appealing, look no further.


In this role you will:

Design, build, and maintain streaming data/ETL pipeline using languages like Python or Java.
Maintain, enhance, and optimize the data pipeline for scalability and reliability
Utilize open source and COTS Artificial Intelligence/Machine Learning capabilities
Work with data-coders, modelers, and front-end developers to ensure coordination and collaboration
Be a Versatile back-end developer with experience extracting, transforming and loading (ETL) structured and unstructured data

Basic Qualifications:

2+ years of experience in data processing back-end development roles
Conceptual understanding of – and/or prior experiences related to – relational databases & query languages
Strong coding skills in at least one language: Python or Java
Experience with various data formats such as XML and JSON
Excellent oral and written communication skills and an ability to translate complicated technical issues for a non-technical audience
Desired Skills:

Experience in data modeling, including conceptual, logical, physical, warehouse, and data mart models.
Conceptual understanding of NoSQL technologies including Hadoop, the map-reduce algorithm, HDFS, Hive, Pig, Accumulo, Apache ElasticSearch and data flow automation techniques such as Apache Camel or Nifi.
Experience participating in Agile/SCRUM projects
Experience with R, Spark, and Tensorflow
Experience with statistical modeling and elastic search indexing

Security Clearance:


Candidates must possess a TS/SCI level security clearance


So what does Novetta do?


We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.


Our culture is shaped by a commitment to our Core Values:


Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.


Customer Mission Success: Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.


Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.


Innovation: We believe that innovation is critical to our success – that discovering new and more effective ways to achieve customer mission success is what makes us a great company.


Get a referral bonus for the great people you know! With our amazing referral program, you could be eligible to win outstanding rewards for referring qualified new hires to Novetta.


Novetta is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law."
659,"Job SummaryOpportunity BackgroundReady to demonstrate your marketing analytics and data sciences prowess? Two great opportunities to stretch your skills and experience to their fullest potential. One is for a full-time contract position and the other is a contract-to-hire role. Both positions are for a top brand, fortune 500 company in Silicon Valley. You’ll have access to large B2B and B2C data sets on a robust analytic platform. Customer and account data is enriched with demographics and firmagraphics, transactional purchase history, Web behavior and cross-channel marketing campaign history. Tools and analytic environment include SAS, Tableau, and well-managed MPP RDBMS, Hadoop & Hive. This position has a reasonable work-load, providing a decent work-life balance and won’t burn you to a crisp like other Valley gigs.Skills & ExperienceYou should have 3-5 years background in developing predictive modeling algorithms using Python/R, along with other tools in the Apache Big Data stack. You should be well-versed in machine learning algorithms – which is best for achieving business/analytic objectives: Bayesian, Regression, Decision Tree, Clustering & Neural Networks. You should be familiar with common marketing models: cross-sell, campaign response, churn, lifetime value. Finally, you’ll need to have experience in deploying these models into a marketing environment.Education & Eligibility: Bachelor of Science in Computer Science, Statistics or relevant degreeMS Degree preferredMust be eligible to work in the U.S.Must be able to work onsite at least 80%Compensation & Benefits: Competitive hourly rate or salary provided based on experienceThe full-time role will have full benefits package (healthcare, 401k, 10 days PTO)Contract position also gets 1.2 PTO days per monthJob Type: ContractSalary: $12,000.00 to $15,000.00 /monthRequired experience:Predictive Modeling: 3 yearsRequired education:Master'sJob Location:Palo Alto, CA 94304"
660,"Statistical Modeling Analyst
Salary: $60,000 - $70,000 / year
We know you know GEICO. But you should get to know us for great careers, too. And, right now, we’re looking for a Statistical Modeling Analyst to start a GEICO career in Chevy Chase, MD. This is your opportunity to apply new modeling techniques, devise new metrics, and tackle complex questions that we have never tried to answer before.
At GEICO, it’s not just a job, it’s growth and opportunity.
There's one thing our associates all have in common: they found a career they never expected. With coaching and mentoring, you will find your position as a Statistical Modeling Analyst can become a career in the most unexpected and rewarding ways.
Our GEICO Statistical Modeling Analysts earn a starting annual salary between $60,000 - $70,000 / year
Solve challenging problems using large datasets and see the impact of your work come to fruition
“I like problem solving and brainstorming innovative solutions. There are so many opportunities to analyze data sets and make recommendations for improving GEICO's efficiency and effectiveness” Jeff W., GEICO Associate since 2015
Get ready to join a company you can believe in and work alongside a team of associates who care.Leading the analysis and recommendations to help design innovative product and business solutions, you will:
Apply data-mining, statistical and advanced modeling techniques
Identify customer risk profiles, model shopping behavior, identify potential underwriting fraud and evaluate new data sources
Integrate predictive models into analytical tools for non-technical end users
Make recommendations to senior management and collaborate on multiple projects with IT, product specialists and actuaries
We are looking for people with results they are proud of, such as:
Bachelor's degree with a minimum 3.0 undergraduate GPA; graduate degrees are encouraged
Demonstrated ability in mathematical, statistical, financial or economic analyses on large, complex datasets
Familiarity with multivariate classification and regression techniques; experience with GLMs, tree-based ensembles, and/or neural networks a plus
Programming skills, such as R, Python, SQL, SAS, Stata or similar, and demonstrated ability to learn new tools
Excellent interpersonal and communication skills
Advanced quantitative and qualitative problem solving skills
Ability to focus on details and work under deadlines
About benefits:
As a full-time GEICO associate, you’ll be offered a comprehensive Total Rewards Program with a wide range of benefits. We said it’s more than a job! Our benefits ensure a long-lasting career with us as your personal life and needs change.
About our location:
This position is based in Chevy Chase, MA. Get to know a little more about our location here and find out what makes working here pleasantly unexpected for our associates.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.
#LI-LJ1"
